0.275, 0.5, 0.125, 62.2
0.275, 0.55, 0.125, 64.6
0.275, 0.6, 0.125, 68.2
0.275, 0.65, 0.125, 59.4
0.275, 0.7, 0.125, 60.4
0.275, 0.75, 0.125, 45.8
0.275, 0.8, 0.125, 53.4
0.275, 0.85, 0.125, 50.8
0.275, 0.9, 0.125, 68.2
0.275, 0.95, 0.125, 100
0.3, 0.5, 0.125, 67.2
0.3, 0.55, 0.125, 65
0.3, 0.6, 0.125, 66.8
0.3, 0.65, 0.125, 47.8
0.3, 0.7, 0.125, 53.2
0.3, 0.75, 0.125, 60.8
0.3, 0.8, 0.125, 52.6
0.3, 0.85, 0.125, 46.8
0.3, 0.9, 0.125, 73
0.3, 0.95, 0.125, 100
0.325, 0.5, 0.125, 72.6
0.325, 0.55, 0.125, 52.8
0.325, 0.6, 0.125, 53.4
0.325, 0.65, 0.125, 61
0.325, 0.7, 0.125, 42.6
0.325, 0.75, 0.125, 40.4
0.325, 0.8, 0.125, 47.4
0.325, 0.85, 0.125, 64.8
0.325, 0.9, 0.125, 65.4
0.325, 0.95, 0.125, 100
0.35, 0.5, 0.125, 57.8
0.35, 0.55, 0.125, 51.8
0.35, 0.6, 0.125, 58
0.35, 0.65, 0.125, 43.6
0.35, 0.7, 0.125, 49
0.35, 0.75, 0.125, 43.6
0.35, 0.8, 0.125, 48.4
0.35, 0.85, 0.125, 57.8
0.35, 0.9, 0.125, 65.8
0.35, 0.95, 0.125, 100
0.375, 0.5, 0.125, 51.6
0.375, 0.55, 0.125, 47.8
0.375, 0.6, 0.125, 49.2
0.375, 0.65, 0.125, 40.4
0.375, 0.7, 0.125, 42.2
0.375, 0.75, 0.125, 53
0.375, 0.8, 0.125, 59.6
0.375, 0.85, 0.125, 58.8
0.375, 0.9, 0.125, 85
0.375, 0.95, 0.125, 100
0.4, 0.5, 0.125, 46
0.4, 0.55, 0.125, 38.8
0.4, 0.6, 0.125, 61.2
0.4, 0.65, 0.125, 43.8
0.4, 0.7, 0.125, 43
0.4, 0.75, 0.125, 45.6
0.4, 0.8, 0.125, 40.4
0.4, 0.85, 0.125, 63
0.4, 0.9, 0.125, 71.2
0.4, 0.95, 0.125, 97.6
0.425, 0.5, 0.125, 45.2
0.425, 0.55, 0.125, 41.8
0.425, 0.6, 0.125, 41.2
0.425, 0.65, 0.125, 54.6
0.425, 0.7, 0.125, 51.4
0.425, 0.75, 0.125, 39.6
0.425, 0.8, 0.125, 43
0.425, 0.85, 0.125, 49.4
0.425, 0.9, 0.125, 84.6
0.425, 0.95, 0.125, 100
0.45, 0.5, 0.125, 36.6
0.45, 0.55, 0.125, 46.6
0.45, 0.6, 0.125, 33.4
0.45, 0.65, 0.125, 41.4
0.45, 0.7, 0.125, 37.4
0.45, 0.75, 0.125, 38.8
0.45, 0.8, 0.125, 43
0.45, 0.85, 0.125, 59.4
0.45, 0.9, 0.125, 68.6
0.45, 0.95, 0.125, 100
0.475, 0.5, 0.125, 37.2
0.475, 0.55, 0.125, 54.2
0.475, 0.6, 0.125, 34.8
0.475, 0.65, 0.125, 46.6
0.475, 0.7, 0.125, 48.2
0.475, 0.75, 0.125, 39.4
0.475, 0.8, 0.125, 54.4
0.475, 0.85, 0.125, 62
0.475, 0.9, 0.125, 80.6
0.475, 0.95, 0.125, 100
0.5, 0.5, 0.125, 36.4
0.5, 0.55, 0.125, 59
0.5, 0.6, 0.125, 42.4
0.5, 0.65, 0.125, 43.4
0.5, 0.7, 0.125, 42.4
0.5, 0.75, 0.125, 52.4
0.5, 0.8, 0.125, 49.6
0.5, 0.85, 0.125, 68
0.5, 0.9, 0.125, 75.6
0.5, 0.95, 0.125, 100
